epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,7796.21,1.71681,2.11769,1.20073,0.00355,0.13948,0.35968,0.30076,0.30444,0.16628,0.49482,0.25685,0.24695,0.11976,1.8785,2.55495,1.69991,0.00623,0,0.000111414,0.000111414,0.000111414
72,7899.26,1.71665,2.10304,1.18515,0.00344,0.13448,0.50112,0.3027,0.30887,0.16537,0.49784,0.25391,0.2461,0.11404,1.88996,2.52633,1.68387,0.00645,0,0.000101105,0.000101105,0.000101105
73,8002.22,1.70864,2.12225,1.18008,0.00338,0.13252,0.35068,0.34159,0.30356,0.16521,0.34506,0.25858,0.24314,0.1154,1.8785,2.50891,1.68312,0.00643,0,9.0797e-05,9.0797e-05,9.0797e-05
74,8104.47,1.70718,2.10046,1.18396,0.00349,0.13328,0.5044,0.33603,0.31671,0.17402,0.50508,0.26152,0.25509,0.11872,1.87384,2.51194,1.68111,0.00645,0,8.04886e-05,8.04886e-05,8.04886e-05
75,8207.54,1.68175,2.0302,1.15629,0.00334,0.13577,0.52208,0.32168,0.31552,0.16872,0.50674,0.25161,0.25037,0.11343,1.87932,2.51231,1.70868,0.00634,0,7.01802e-05,7.01802e-05,7.01802e-05
76,8310.34,1.67988,2.06416,1.16318,0.0033,0.13262,0.49036,0.33259,0.30991,0.16695,0.48909,0.26459,0.24823,0.1157,1.87183,2.49664,1.69644,0.00624,0,5.98719e-05,5.98719e-05,5.98719e-05
77,8413.14,1.66965,2.04975,1.14554,0.00338,0.13284,0.49444,0.32112,0.31181,0.1676,0.47041,0.25948,0.24552,0.11369,1.86932,2.48045,1.70074,0.00627,0,4.95635e-05,4.95635e-05,4.95635e-05
78,8516.67,1.67659,2.08743,1.15647,0.00329,0.13318,0.51154,0.31684,0.31103,0.16797,0.48799,0.25795,0.24936,0.11539,1.87487,2.50725,1.68199,0.00646,0,3.92551e-05,3.92551e-05,3.92551e-05
79,8619.37,1.65049,2.06578,1.15106,0.00324,0.13325,0.4824,0.32043,0.30803,0.1648,0.47559,0.28057,0.25125,0.11602,1.87255,2.50436,1.70201,0.00641,0,2.89468e-05,2.89468e-05,2.89468e-05
80,8722.25,1.62643,2.05215,1.13922,0.00329,0.13345,0.51406,0.31392,0.31183,0.16779,0.49669,0.27141,0.25077,0.11625,1.87579,2.4977,1.69565,0.00638,0,1.86384e-05,1.86384e-05,1.86384e-05
