epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,13999.9,1.63191,2.04363,1.13114,0.00326,0.19731,0.66223,0.32733,0.39898,0.22007,0.57789,0.26773,0.28099,0.13569,1.72125,2.09821,1.36416,0.00486,0,0.000193881,0.000193881,0.000193881
64,14217.8,1.62371,1.96871,1.10298,0.00315,0.19474,0.65802,0.38036,0.41623,0.22278,0.55362,0.30308,0.2969,0.14172,1.68849,2.11224,1.37917,0.0047,0,0.000183572,0.000183572,0.000183572
65,14435,1.61103,1.90394,1.08767,0.00313,0.18862,0.69811,0.37953,0.40541,0.22721,0.53667,0.29881,0.28679,0.13976,1.68985,2.11614,1.39907,0.00466,0,0.000173264,0.000173264,0.000173264
66,14652.6,1.60449,1.94699,1.07946,0.00312,0.18266,0.68555,0.37671,0.41911,0.22906,0.56203,0.31102,0.30388,0.14554,1.71204,2.09622,1.36964,0.00483,0,0.000162956,0.000162956,0.000162956
67,14870.4,1.59188,1.92006,1.055,0.00306,0.18348,0.65483,0.36543,0.40949,0.22683,0.52582,0.30122,0.28492,0.1379,1.69987,2.10438,1.383,0.00482,0,0.000152647,0.000152647,0.000152647
68,15088.1,1.60252,1.93796,1.07967,0.0032,0.19013,0.68453,0.36245,0.4155,0.23368,0.5701,0.28906,0.29775,0.14365,1.69579,2.13767,1.38784,0.00485,0,0.000142339,0.000142339,0.000142339
69,15305.8,1.55726,1.9238,1.04629,0.00311,0.18486,0.60478,0.38625,0.40198,0.22542,0.53353,0.29342,0.29079,0.14233,1.68733,2.11848,1.40464,0.00456,0,0.000132031,0.000132031,0.000132031
70,15523.1,1.58131,1.92956,1.05068,0.00309,0.18045,0.62046,0.40664,0.4306,0.23792,0.51255,0.32711,0.2867,0.14242,1.69051,2.09191,1.36465,0.00462,0,0.000121722,0.000121722,0.000121722
71,15744.1,1.52325,1.81771,0.97994,0.00301,0.11275,0.6649,0.33417,0.38098,0.20678,0.56759,0.2743,0.28084,0.13183,1.73266,2.10606,1.43823,0.00485,0,0.000111414,0.000111414,0.000111414
72,15959.8,1.54568,1.855,0.98844,0.00305,0.10915,0.65322,0.33916,0.38918,0.21143,0.54823,0.28122,0.2833,0.1363,1.72989,2.10547,1.41017,0.0048,0,0.000101105,0.000101105,0.000101105
73,16175.1,1.51038,1.88045,0.9635,0.00305,0.11073,0.66228,0.34999,0.39941,0.20976,0.51509,0.28495,0.28526,0.13086,1.72437,2.1039,1.42438,0.00483,0,9.0797e-05,9.0797e-05,9.0797e-05
74,16391.8,1.50105,1.81028,0.95323,0.00291,0.10852,0.59259,0.3694,0.39708,0.214,0.49317,0.29658,0.28445,0.13846,1.72275,2.16082,1.42286,0.00483,0,8.04886e-05,8.04886e-05,8.04886e-05
75,16606.1,1.49331,1.7727,0.94335,0.00307,0.11311,0.59618,0.38526,0.40537,0.22014,0.48226,0.30712,0.29145,0.13631,1.71973,2.11514,1.4282,0.00484,0,7.01802e-05,7.01802e-05,7.01802e-05
76,16820.6,1.50269,1.79887,0.95142,0.00298,0.11252,0.64226,0.33885,0.39066,0.21225,0.53292,0.26482,0.27003,0.13204,1.71789,2.13312,1.41539,0.00472,0,5.98719e-05,5.98719e-05,5.98719e-05
77,17034.3,1.50132,1.7852,0.94582,0.00302,0.1093,0.69645,0.3281,0.39197,0.21495,0.61947,0.28058,0.28964,0.13661,1.7085,2.14532,1.42212,0.00478,0,4.95635e-05,4.95635e-05,4.95635e-05
78,17248,1.50406,1.88447,0.92545,0.00298,0.1075,0.67085,0.35856,0.40281,0.21732,0.55886,0.27354,0.27295,0.13165,1.70207,2.15525,1.42873,0.00478,0,3.92551e-05,3.92551e-05,3.92551e-05
79,17461.5,1.48183,1.76198,0.94859,0.003,0.10684,0.68382,0.34059,0.3973,0.21637,0.5723,0.26886,0.26726,0.12912,1.70572,2.15931,1.42605,0.00478,0,2.89468e-05,2.89468e-05,2.89468e-05
80,17694.9,1.43414,1.76544,0.88641,0.00289,0.10298,0.65355,0.36564,0.39951,0.2183,0.57341,0.27406,0.27526,0.13468,1.70927,2.1037,1.42402,0.00476,0,1.86384e-05,1.86384e-05,1.86384e-05
